Date,Open,High,Low,Close,Adj Close,Volume
7-Apr-22,171.16,173.36,169.85,172.14,171.36,"77,594,700"
8-Apr-22,171.78,171.78,169.2,170.09,169.32,"76,575,500"
11-Apr-22,168.71,169.03,165.5,165.75,165,"72,246,700"
12-Apr-22,168.02,169.87,166.64,167.66,166.9,"79,265,200"
13-Apr-22,167.39,171.04,166.77,170.4,169.63,"70,618,900"
14-Apr-22,170.62,171.27,165.04,165.29,164.55,"75,329,400"
18-Apr-22,163.92,166.6,163.57,165.07,164.33,"69,023,900"
19-Apr-22,165.02,167.82,163.91,167.4,166.65,"67,723,800"
20-Apr-22,168.76,168.88,166.1,167.23,166.48,"67,929,800"
21-Apr-22,168.91,171.53,165.91,166.42,165.67,"87,227,800"
22-Apr-22,166.46,167.87,161.5,161.79,161.06,"84,882,400"
25-Apr-22,161.12,163.17,158.46,162.88,162.15,"96,046,400"
26-Apr-22,162.25,162.34,156.72,156.8,156.09,"95,623,200"
27-Apr-22,155.91,159.79,155.38,156.57,155.86,"88,063,200"
28-Apr-22,159.25,164.52,158.93,163.64,162.9,"130,216,800"
29-Apr-22,161.84,166.2,157.25,157.65,156.94,"131,747,600"
2-May-22,156.71,158.23,153.27,157.96,157.25,"123,055,300"
3-May-22,158.15,160.71,156.32,159.48,158.76,"88,966,500"
4-May-22,159.67,166.48,159.26,166.02,165.27,"108,256,500"
5-May-22,163.85,164.08,154.95,156.77,156.06,"130,525,300"
6-May-22,156.01,159.44,154.18,157.28,156.8,"116,124,600"
9-May-22,154.93,155.83,151.49,152.06,151.6,"131,577,900"
10-May-22,155.52,156.74,152.93,154.51,154.04,"115,366,700"
11-May-22,153.5,155.45,145.81,146.5,146.05,"142,689,800"
12-May-22,142.77,146.2,138.8,142.56,142.13,"182,602,000"
13-May-22,144.59,148.1,143.11,147.11,146.66,"113,990,900"
16-May-22,145.55,147.52,144.18,145.54,145.1,"86,643,800"
17-May-22,148.86,149.77,146.68,149.24,148.79,"78,336,300"
18-May-22,146.85,147.36,139.9,140.82,140.39,"109,742,900"
19-May-22,139.88,141.66,136.6,137.35,136.93,"136,095,600"
20-May-22,139.09,140.7,132.61,137.59,137.17,"137,426,100"
23-May-22,137.79,143.26,137.65,143.11,142.67,"117,726,300"
24-May-22,140.81,141.97,137.33,140.36,139.93,"104,132,700"
25-May-22,138.43,141.79,138.34,140.52,140.09,"92,482,700"
26-May-22,137.39,144.34,137.14,143.78,143.34,"90,601,500"
27-May-22,145.39,149.68,145.26,149.64,149.18,"90,978,500"
31-May-22,149.07,150.66,146.84,148.84,148.39,"103,718,400"
1-Jun-22,149.9,151.74,147.68,148.71,148.26,"74,286,600"
2-Jun-22,147.83,151.27,146.86,151.21,150.75,"72,348,100"
3-Jun-22,146.9,147.97,144.46,145.38,144.94,"88,570,300"
6-Jun-22,147.03,148.57,144.9,146.14,145.7,"71,598,400"
7-Jun-22,144.35,149,144.1,148.71,148.26,"67,808,200"
8-Jun-22,148.58,149.87,147.46,147.96,147.51,"53,950,200"
9-Jun-22,147.08,147.95,142.53,142.64,142.21,"69,473,000"
10-Jun-22,140.28,140.76,137.06,137.13,136.71,"91,437,900"
13-Jun-22,132.87,135.2,131.44,131.88,131.48,"122,207,100"
14-Jun-22,133.13,133.89,131.48,132.76,132.36,"84,784,300"
15-Jun-22,134.29,137.34,132.16,135.43,135.02,"91,533,000"
16-Jun-22,132.08,132.39,129.04,130.06,129.66,"108,123,900"
17-Jun-22,130.07,133.08,129.81,131.56,131.16,"134,520,300"
21-Jun-22,133.42,137.06,133.32,135.87,135.46,"81,000,500"
22-Jun-22,134.79,137.76,133.91,135.35,134.94,"73,409,200"
23-Jun-22,136.82,138.59,135.63,138.27,137.85,"72,433,800"
24-Jun-22,139.9,141.91,139.77,141.66,141.23,"89,116,800"
27-Jun-22,142.7,143.49,140.97,141.66,141.23,"70,207,900"
28-Jun-22,142.13,143.42,137.32,137.44,137.02,"67,083,400"
29-Jun-22,137.46,140.67,136.67,139.23,138.81,"66,242,400"
30-Jun-22,137.25,138.37,133.77,136.72,136.3,"98,964,500"
1-Jul-22,136.04,139.04,135.66,138.93,138.51,"71,051,600"
5-Jul-22,137.77,141.61,136.93,141.56,141.13,"73,353,800"
6-Jul-22,141.35,144.12,141.08,142.92,142.49,"74,064,300"
7-Jul-22,143.29,146.55,143.28,146.35,145.9,"66,253,700"
8-Jul-22,145.26,147.55,145,147.04,146.59,"64,547,800"
11-Jul-22,145.67,146.64,143.78,144.87,144.43,"63,141,600"
12-Jul-22,145.76,148.45,145.05,145.86,145.42,"77,588,800"
13-Jul-22,142.99,146.45,142.12,145.49,145.05,"71,185,600"
14-Jul-22,144.08,148.95,143.25,148.47,148.02,"78,140,700"
15-Jul-22,149.78,150.86,148.2,150.17,149.71,"76,259,900"
18-Jul-22,150.74,151.57,146.7,147.07,146.62,"81,420,900"
19-Jul-22,147.92,151.23,146.91,151,150.54,"82,982,400"
20-Jul-22,151.12,153.72,150.37,153.04,152.57,"64,823,400"
21-Jul-22,154.5,155.57,151.94,155.35,154.88,"65,086,600"
22-Jul-22,155.39,156.28,153.41,154.09,153.62,"66,675,400"
25-Jul-22,154.01,155.04,152.28,152.95,152.48,"53,623,900"
26-Jul-22,152.26,153.09,150.8,151.6,151.14,"55,138,700"
27-Jul-22,152.58,157.33,152.16,156.79,156.31,"78,620,700"
28-Jul-22,156.98,157.64,154.41,157.35,156.87,"81,378,700"
29-Jul-22,161.24,163.63,159.5,162.51,162.02,"101,786,900"
1-Aug-22,161.01,163.59,160.89,161.51,161.02,"67,829,400"
2-Aug-22,160.1,162.41,159.63,160.01,159.52,"59,907,000"
3-Aug-22,160.84,166.59,160.75,166.13,165.62,"82,507,500"
4-Aug-22,166.01,167.19,164.43,165.81,165.31,"55,474,100"
5-Aug-22,163.21,165.85,163,165.35,165.08,"56,697,000"
8-Aug-22,166.37,167.81,164.2,164.87,164.6,"60,276,900"
9-Aug-22,164.02,165.82,163.25,164.92,164.65,"63,135,500"
